archive,inner_path,subgroup,file,sheet,positive_vote_ratio,distance_to_positive_centroid,distance_to_negative_centroid,margin_positive_minus_negative,projection_status_v2,delta_half_in_h__value,early_dew_gain_per_out__value,late_dew_gain_per_out__value,late_minus_early_dew_gain__value,late_minus_early_rh_gain__value,late_minus_early_vpd_gap__value,max_corr_outRH_inRH_change__value,slope_in_h_per_h__value
unsealed.zip,密封状态数据/严格密封/2025-12-05 170640.xlsx,sealed_strict,2025-12-05 170640,Serial Data Log,0.16666666666666666,8.729569168540872,6.874272906201928,-1.8552962623389435,old_negative_like,3.078228128460694,-0.2844030984494044,,,0.11610356576201127,-0.5428987362132085,0.21656169354704155,0.06338880733149303
unsealed.zip,密封状态数据/严格密封/2025-12-26 121522.xlsx,sealed_strict,2025-12-26 121522,Serial Data Log,0.25,19.26740989721302,17.323347604286827,-1.9440622929261941,old_negative_like,1.4563669288326864,1.4333325687052456,3.1855852729723644,1.7522527042671188,-0.28471037141336836,-1.3073369717007137,0.5351809776450174,0.10842421054260883
unsealed.zip,密封状态数据/严格密封/2025-10-23 100214.xlsx,sealed_strict,2025-10-23 100214,Serial Data Log,0.2857142857142857,14.380151617059088,12.394165096816073,-1.9859865202430154,old_negative_like,-1.3241288746552158,-3.692816312584848,0.08843073173397807,3.781247044318826,-0.16374583604533666,0.11739212463008047,,-0.3011329676890991
unsealed.zip,密封状态数据/严格密封/2025-10-28 110628.xlsx,sealed_strict,2025-10-28 110628,Serial Data Log,0.75,4.440395174641964,8.070226140016485,3.6298309653745218,old_positive_like,2.3340109890109915,1.264920870531209,0.043570670149027074,-1.221350200382182,2.194333630021205,0.038448212807691284,0.86412814626604,0.45168164521464704
unsealed.zip,密封状态数据/严格密封/2025-10-21 101019.xlsx,sealed_strict,2025-10-21 101019,Serial Data Log,0.8571428571428571,24.022864000194826,26.296502103528873,2.273638103334047,old_positive_like,10.169728762219478,1.907075938347217,0.47352308964367806,-1.4335528487035387,-3.524689814601295,0.11708087082961961,,2.4030498665253455
unsealed.zip,密封状态数据/严格密封/2025-11-18 104042.xlsx,sealed_strict,2025-11-18 104042,Serial Data Log,0.75,35.300390366932234,37.45133673399049,2.1509463670582534,old_positive_like,4.730281443148151,1.73480037894398,0.5071048963066961,-1.2276954826372841,-0.3058290725579722,2.7556243808999334,0.630980793005204,0.33483612711927474
sealed.zip,非密封状态数据/2025-10-29 100448.xlsx,unsealed,2025-10-29 100448,Serial Data Log,0.5714285714285714,3.4246385398184227,6.490059984201708,3.0654214443832855,old_ambiguous,1.474793831388709,0.7293280131174567,0.10945104042663201,-0.6198769726908246,0.36500761390530656,0.12084207404297465,,0.3285182781160409
sealed.zip,非密封状态数据/2025-11-11 142535.xlsx,unsealed,2025-11-11 142535,Serial Data Log,0.5,92.92996611583382,95.12859282270394,2.1986267068701153,old_ambiguous,-5.3958889121924045,28.470909855813346,-9.187665085013517,-37.65857494082687,0.01206830387159305,-1.4999802943678906,0.8668915053025226,-0.6382127207201068
sealed.zip,非密封状态数据/2025-11-07 174124.xlsx,unsealed,2025-11-07 174124,Serial Data Log,0.5,12.276663532983454,14.080288793601843,1.8036252606183893,old_ambiguous,-4.53531168269005,3.631252171294222,0.3523825106867215,-3.2788696606075005,-0.5310135985263222,0.5195101224431555,0.7985730835910608,-0.4727531094349626
sealed.zip,非密封状态数据/2025-11-04 210606.xlsx,unsealed,2025-11-04 210606,Serial Data Log,0.25,6.024148642101816,7.306334413022369,1.2821857709205524,old_ambiguous,-0.45172602739726386,0.2580436699419194,0.9967970049377476,0.7387533349958282,4.158711259326333,0.4345790625180891,-0.05878723486164395,0.03005220294286187
sealed.zip,非密封状态数据/2026-01-12 173246.xlsx,unsealed,2026-01-12 173246,Serial Data Log,0.25,6.3038174409485315,7.5046713591172045,1.200853918168673,old_ambiguous,-1.1832165381920206,0.41962837165229333,0.6263811072068197,0.2067527355545264,-0.6974479045297034,0.4720103751873723,0.21840715963588778,-0.011103211208517878
sealed.zip,非密封状态数据/2025-11-12 194505.xlsx,unsealed,2025-11-12 194505,Serial Data Log,0.5,34.63262602317654,33.708428871975855,-0.924197151200687,old_ambiguous,7.956178108719961,1.8834560888043201,1.2766596265265289,-0.6067964622777913,0.4274085813518267,-2.5435837287485663,0.79771191497742,0.6086904421425807
sealed.zip,非密封状态数据/2025-11-06 105304.xlsx,unsealed,2025-11-06 105304,Serial Data Log,0.125,5.0358072262752005,4.123634226907062,-0.9121729993681384,old_negative_like,0.8589506828488709,-0.22403125993684714,0.4589453018692088,0.6829765618060559,0.3443559621067645,-0.1900869523215058,0.7178791218457862,0.05910168137736596
sealed.zip,非密封状态数据/2025-11-03 193657.xlsx,unsealed,2025-11-03 193657,Serial Data Log,0.8333333333333334,20.670320965352392,23.1785601446792,2.5082391793268073,old_positive_like,6.742679249905009,1.6677775646203283,,,27.03538600352497,0.7372770499259669,-0.6277970468936739,0.6627227414822979
