time,in_temp,in_hum,out_temp,out_hum,AH_in,AH_out,dT,dRH,dAH
2026-03-10 01:19:37,13.09,53.7,13.61,53.91,6.121480550014727,6.345881726859587,-0.5199999999999996,-0.20999999999999375,-0.22440117684485994
2026-03-10 01:20:37,13.08,53.77,13.66,53.88,6.125669592095744,6.36191105875198,-0.5800000000000001,-0.10999999999999943,-0.23624146665623602
2026-03-10 01:21:46,13.09,53.71,13.61,53.92,6.122620490526834,6.347058852017602,-0.5199999999999996,-0.21000000000000085,-0.22443836149076812
2026-03-10 01:22:49,13.11,53.71,13.66,53.87,6.130199230086221,6.360730303173147,-0.5500000000000007,-0.1599999999999966,-0.2305310730869259
2026-03-10 01:23:53,13.08,53.71,13.64,53.77,6.118834178751391,6.341108163812283,-0.5600000000000005,-0.060000000000002274,-0.2222739850608919
2026-03-10 01:24:53,13.08,53.74,13.66,53.77,6.122251885423568,6.348922747384818,-0.5800000000000001,-0.030000000000001137,-0.2266708619612503
2026-03-10 01:26:02,13.09,53.71,13.64,53.85,6.122620490526834,6.3505425817610455,-0.5500000000000007,-0.14000000000000057,-0.2279220912342117
2026-03-10 01:27:01,13.09,53.77,13.64,53.81,6.129460133599475,6.345825372786665,-0.5500000000000007,-0.03999999999999915,-0.21636523918718975
2026-03-10 01:28:10,13.11,53.71,13.61,53.89,6.130199230086221,6.3435274765435565,-0.5,-0.17999999999999972,-0.21332824645733517
2026-03-10 01:29:09,13.09,53.74,13.64,53.85,6.1260403120631555,6.3505425817610455,-0.5500000000000007,-0.10999999999999943,-0.22450226969789
2026-03-10 01:30:18,13.09,53.72,13.61,53.91,6.1237604310389395,6.345881726859587,-0.5199999999999996,-0.18999999999999773,-0.22212129582064755
2026-03-10 01:31:19,13.06,53.74,13.65,53.87,6.114681146966111,6.356814696392185,-0.5899999999999999,-0.12999999999999545,-0.24213354942607346
2026-03-10 01:32:26,13.08,53.73,13.6,53.86,6.121112649866176,6.336091692982285,-0.5199999999999996,-0.13000000000000256,-0.2149790431161085
2026-03-10 01:33:25,13.09,53.76,13.61,53.8,6.128320193087369,6.33293335012142,-0.5199999999999996,-0.03999999999999915,-0.2046131570340508
2026-03-10 01:34:34,13.06,53.72,13.6,53.85,6.112405493394482,6.334915292742221,-0.5399999999999991,-0.13000000000000256,-0.22250979934773962
2026-03-10 01:35:33,13.06,53.73,13.62,53.79,6.113543320180296,6.335657648390898,-0.5599999999999987,-0.060000000000002274,-0.22211432821060217
2026-03-10 01:36:42,13.08,53.75,13.6,53.86,6.123391120980959,6.336091692982285,-0.5199999999999996,-0.10999999999999943,-0.2127005720013253
2026-03-10 01:37:41,13.06,53.77,13.62,53.76,6.118094627323554,6.332124096997484,-0.5599999999999987,0.010000000000005116,-0.21402946967393
2026-03-10 01:38:50,13.06,53.72,13.58,53.87,6.112405493394482,6.329464102074484,-0.5199999999999996,-0.14999999999999858,-0.21705860868000215
2026-03-10 01:39:49,13.06,53.77,13.64,53.79,6.118094627323554,6.343466768299473,-0.5800000000000001,-0.01999999999999602,-0.22537214097591907
2026-03-10 01:40:58,13.06,53.74,13.61,53.84,6.114681146966111,6.337641850753481,-0.5499999999999989,-0.10000000000000142,-0.22296070378736932
2026-03-10 01:41:57,13.06,53.74,13.62,53.75,6.114681146966111,6.3309462465330135,-0.5599999999999987,-0.00999999999999801,-0.2162650995669022
2026-03-10 01:43:06,13.06,53.77,13.61,53.85,6.118094627323554,6.338818975911495,-0.5499999999999989,-0.0799999999999983,-0.22072434858794043
2026-03-10 01:44:05,13.08,53.75,13.61,53.76,6.123391120980959,6.328224849489359,-0.5299999999999994,-0.00999999999999801,-0.2048337285084001
2026-03-10 01:45:14,13.08,53.73,13.58,53.84,6.121112649866176,6.325939247367557,-0.5,-0.11000000000000654,-0.20482659750138055
2026-03-10 01:46:13,13.06,53.77,13.61,53.81,6.118094627323554,6.334110475279436,-0.5499999999999989,-0.03999999999999915,-0.21601584795588202
2026-03-10 01:47:22,13.08,53.77,13.58,53.9,6.125669592095744,6.332988956781413,-0.5,-0.12999999999999545,-0.20731936468566836
