archive,inner_path,path_label,subgroup,file,sheet,status,n_points,duration_h,mean_out_h,mean_dT,mean_dAH,delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH,std_in_hum_run,std_AH_in_run,rh_ah_ratio,corr_in_temp_in_hum,corr_in_temp_AH_in,n_windows_12h,candidate_high_info_ratio,heat_related_ratio,exclude_low_info_ratio,complex_ratio,label_ext_high_hum_ratio,label_transition_ratio,label_heat_stable_ratio,label_cooling_ratio,max_corr_dAH_change,best_lag_h,gain_ratio_dAH_change,max_corr_outRH_inRH_change,best_lag_rh_h,demo_final_status,demo_risk_level,demo_rationale
unsealed.zip,密封状态数据/严格密封/2025-12-17 111715.xlsx,密封状态数据/严格密封,sealed_strict,2025-12-17 111715,Serial Data Log,ok,1781.0,29.449444444444445,22.95171813587872,-0.6225772038180799,26.186420174530713,-0.24334386310042078,0.07164686427364586,-0.23691470870958653,0.17279167281478733,32.87975231079889,5.551620812801451,20.936038767695116,0.26517054512564975,-0.904567925804353,0.9895295902862661,19.0,0.5789473684210527,0.2631578947368421,0.0,0.15789473684210525,0.5789473684210527,0.0,0.0,0.15789473684210525,0.6224667994022525,0.0,0.5884012038540869,0.17729700376322452,6.0,strict_sealed_interference_watch,watch,strict sealed but candidate_high_info_ratio is high
unsealed.zip,密封状态数据/严格密封/2025-12-18 180011.xlsx,密封状态数据/严格密封,sealed_strict,2025-12-18 180011,Serial Data Log,ok,5401.0,89.49305555555556,22.97483428994631,-0.9050157378263284,18.344923753926448,1.2448731306648995,0.31399955330995155,0.031235076783568,0.036224035250620026,-4.737664179190766,2.116509990895278,18.834645578480295,0.11237323166375462,-0.7435040295686007,0.984689149263073,79.0,0.7341772151898734,0.10126582278481013,0.0,0.16455696202531644,0.7341772151898734,0.0,0.0,0.10126582278481013,0.6778182717025605,0.0,0.5409484895691438,0.18422984478169938,5.0,strict_sealed_interference_watch,watch,strict sealed but candidate_high_info_ratio is high
unsealed.zip,密封状态数据/严格密封/2025-12-26 121522.xlsx,密封状态数据/严格密封,sealed_strict,2025-12-26 121522,Serial Data Log,ok,1417.0,23.6025,48.98694424841214,-0.23776993648553288,1.4166133019330946,1.4563669288326864,-3.3902555774614793,0.1084242105426102,-0.32824883644259906,-3.881324758781063,0.9411056018410703,2.807941890960446,0.33515850341161035,-0.790718657535438,0.9975295314306367,13.0,0.8461538461538461,0.15384615384615385,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.5761031712464018,4.0,0.47382999039798995,0.5351809776450175,1.0,strict_sealed_interference_watch,watch,strict sealed but candidate_high_info_ratio is high | RH response is relatively fast
unsealed.zip,密封状态数据/严格密封/2025-12-27 115350.xlsx,密封状态数据/严格密封,sealed_strict,2025-12-27 115350,Serial Data Log,ok,241.0,4.000277777777778,44.14655601659751,0.7339834024896265,1.6049621014457922,0.9266088154269951,1.091923319012933,0.5209897662200562,0.5316477014333509,2.9168310980943906,0.7874519810163914,1.1029391725711428,0.7139577599557952,-0.5644383032982219,0.9955038113036694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,strict_sealed_negative_control_safe,safe,strict sealed and no persistent high-info routing
unsealed.zip,密封状态数据/严格密封/2025-12-28 120304.xlsx,密封状态数据/严格密封,sealed_strict,2025-12-28 120304,Serial Data Log,ok,2733.0,45.55166666666667,35.619191364800585,-0.04092206366630095,6.288586045921195,2.427009589133533,-1.2668151007466992,0.06059515337973361,-0.04436154240183896,-10.614838835795235,6.2234731068652955,20.60610622709317,0.3020208203470578,-0.917710729700567,0.9846231373267235,35.0,0.8285714285714286,0.17142857142857143,0.0,0.0,0.8285714285714286,0.0,0.0,0.11428571428571428,0.9501386299000325,1.0,1.003910096075746,0.2723596630102107,6.0,strict_sealed_interference_watch,watch,strict sealed but candidate_high_info_ratio is high | absolute-humidity gain is relatively high
unsealed.zip,密封状态数据/严格密封/2026-01-04 165808.xlsx,密封状态数据/严格密封,sealed_strict,2026-01-04 165808,Serial Data Log,ok,8282.0,138.06444444444443,84.599445786042,-0.10631731465829511,-4.155930586979367,-0.12735571118087563,-2.500081250939663,-0.000176448868099529,-0.039640462828589844,-1.9017026407345163,0.614408185396198,2.5235545650497726,0.24346934831745154,-0.9078430143712536,0.9926626838275057,129.0,0.9224806201550387,0.031007751937984496,0.0,0.046511627906976744,0.9224806201550387,0.0,0.0,0.0,0.6653487989590867,1.0,1.1488991652734772,0.7320670460978362,1.0,strict_sealed_interference_watch,watch,strict sealed but candidate_high_info_ratio is high | RH response is relatively fast | absolute-humidity gain is relatively high
sealed.zip,非密封状态数据/2025-10-29 100448.xlsx,非密封状态数据,unsealed,2025-10-29 100448,Serial Data Log,ok,643.0,10.6975,34.28660964230171,0.7405287713841369,5.323691716756417,1.474793831388709,0.258110390991269,0.32851827811605594,0.020051963237527722,2.33786176233295,1.5520595661777,1.288178270282239,1.204848429742294,-0.7664162670868515,0.9859224650210605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,challenge_low_signal,abstain,unsealed in old_data but current challenge signals are weak
sealed.zip,非密封状态数据/2025-11-03 193657.xlsx,非密封状态数据,unsealed,2025-11-03 193657,Serial Data Log,ok,1265.0,21.066388888888888,60.47494861660079,-0.3413596837944658,-0.1288864243709391,6.742679249905009,4.183537344035258,0.6627227414823,0.4299647695124151,0.9908350628993983,4.295019795752383,3.828566236586328,1.1218350500792067,0.6659538902255461,0.8961569044862586,11.0,1.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.9628116143676114,1.0,0.6208287984110092,-0.6277970468936739,1.0,challenge_positive_like,high,persistent high-info routing with fast response or high gain
sealed.zip,非密封状态数据/2025-11-04 210606.xlsx,非密封状态数据,unsealed,2025-11-04 210606,Serial Data Log,ok,1460.0,24.324444444444445,43.03007534246576,-0.958835616438356,6.582964752885226,-0.45172602739726386,5.000209698315186,0.03005220294286991,0.2948388817281051,0.9317224986042287,1.3733528521344336,5.821405207047538,0.2359143202180495,-0.5403645877380919,0.9963922046007224,14.0,0.7857142857142857,0.21428571428571427,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.9638197576900093,1.0,1.2868240757743894,-0.05878723486164396,1.0,challenge_positive_like,high,persistent high-info routing with fast response or high gain
sealed.zip,非密封状态数据/2025-11-06 105304.xlsx,非密封状态数据,unsealed,2025-11-06 105304,Serial Data Log,ok,1753.0,29.2075,83.21642897889332,-0.0680946948088991,-3.0558785220943356,0.8589506828488709,-0.7980434513981436,0.0591016813773751,-0.05958723389802242,-3.0495264656679204,0.4993232283807891,0.10347454896185451,4.825565642860281,-0.9248971526401372,0.9449232197237438,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4922242634037815,0.0,0.3893686428917451,0.7178791218457861,0.0,challenge_positive_like,high,persistent high-info routing with fast response or high gain
sealed.zip,非密封状态数据/2025-11-07 174124.xlsx,非密封状态数据,unsealed,2025-11-07 174124,Serial Data Log,ok,1483.0,24.628888888888888,25.5293931220499,-0.5811463250168576,21.97239537396521,-4.53531168269005,2.004585574627331,-0.4727531094349687,0.32962337073408854,19.918889892595374,4.456800521875459,10.73024099953547,0.41534952682501736,-0.7213225594568959,0.9612302028592968,15.0,0.4,0.6,0.0,0.0,0.4,0.0,0.0,0.26666666666666666,0.6723932270758439,4.0,1.5956086191519865,0.7985730835910608,1.0,challenge_watch,watch,some high-info evidence but not strong enough for positive-like
sealed.zip,非密封状态数据/2025-11-11 142535.xlsx,非密封状态数据,unsealed,2025-11-11 142535,Serial Data Log,ok,895.0,14.835277777777778,38.76661452513966,-0.6880782122905028,10.081971599008497,-5.3958889121924045,1.001152491695228,-0.6382127207201095,0.03714493486418688,1.3731112688586222,4.080998329949733,11.487100744597404,0.35526791491483195,-0.9511573692067374,0.9828936424931908,5.0,0.4,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.40077170419987995,0.0,1.169333216196015,0.8668915053025225,1.0,challenge_watch,watch,some high-info evidence but not strong enough for positive-like
sealed.zip,非密封状态数据/2025-11-12 194505.xlsx,非密封状态数据,unsealed,2025-11-12 194505,Serial Data Log,ok,1211.0,20.094722222222224,51.698984310487205,0.49206440957886044,4.845489011433526,7.956178108719961,-13.490830649119234,0.6086904421425855,-0.9705824571744006,-4.649826187660723,5.111234705872969,12.759970295753828,0.40056791570853806,-0.9285782235905286,0.9919749913132136,10.0,0.6,0.4,0.0,0.0,0.6,0.0,0.0,0.1,0.5263332077293377,0.0,0.9826121747141339,0.7977119149774201,2.0,challenge_positive_like,high,persistent high-info routing with fast response or high gain
sealed.zip,非密封状态数据/2026-01-12 173246.xlsx,非密封状态数据,unsealed,2026-01-12 173246,Serial Data Log,ok,2854.0,47.60472222222222,26.74802032235459,-0.15549404344779236,13.162179569030501,-1.1832165381920206,-3.741086538196596,-0.011103211208517571,0.01813478865736903,2.212081656179109,3.878983140137663,17.326000977200316,0.22388219562275832,-0.9503302574993685,0.9845968330217599,38.0,0.7105263157894737,0.23684210526315788,0.0,0.05263157894736842,0.7105263157894737,0.0,0.0,0.18421052631578946,0.6630606424290247,0.0,0.49318472874346475,0.21840715963588786,3.0,challenge_watch,watch,some high-info evidence but not strong enough for positive-like
